Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,PTC_Y0,Analog,High Impedance,n/a,,,NORMAL
4,PA03,,PTC_Y1,Analog,High Impedance,n/a,,,NORMAL
5,PB04,,PTC_Y10,Analog,High Impedance,n/a,,,NORMAL
6,PB05,,PTC_Y11,Analog,High Impedance,n/a,,,NORMAL
9,PB06,,PTC_Y12,Analog,High Impedance,n/a,,,NORMAL
10,PB07,,PTC_Y13,Analog,High Impedance,n/a,,,NORMAL
11,PB08,,PTC_Y14,Analog,High Impedance,n/a,,,NORMAL
12,PB09,,PTC_Y15,Analog,High Impedance,n/a,,,NORMAL
13,PA04,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
14,PA05,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
15,PA06,,Available,,,,,,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,PTC_X0,Analog,High Impedance,n/a,,,NORMAL
18,PA09,,PTC_X1,Analog,High Impedance,n/a,,,NORMAL
19,PA10,,PTC_X2,Analog,High Impedance,n/a,,,NORMAL
20,PA11,,PTC_X3,Analog,High Impedance,n/a,,,NORMAL
23,PB10,,Available,,,,,,NORMAL
24,PB11,,Available,,,,,,NORMAL
25,PB12,,PTC_X12,Analog,High Impedance,n/a,,,NORMAL
26,PB13,,PTC_X13,Analog,High Impedance,n/a,,,NORMAL
27,PB14,,PTC_X14,Analog,High Impedance,n/a,,,NORMAL
28,PB15,,PTC_X15,Analog,High Impedance,n/a,,,NORMAL
29,PA12,,Available,,,,,,NORMAL
30,PA13,,Available,,,,,,NORMAL
31,PA14,,SERCOM2_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
32,PA15,,SERCOM2_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
35,PA16,,PTC_X4,Analog,High Impedance,n/a,,,NORMAL
36,PA17,,PTC_X5,Analog,High Impedance,n/a,,,NORMAL
37,PA18,,PTC_X6,Analog,High Impedance,n/a,,,NORMAL
38,PA19,,PTC_X7,Analog,High Impedance,n/a,,,NORMAL
39,PB16,GPIO_PB16,GPIO,Digital,In/Out,Low,,,NORMAL
40,PB17,GPIO_PB17,GPIO,Digital,In/Out,Low,,,NORMAL
41,PA20,,PTC_X8,Analog,High Impedance,n/a,,,NORMAL
42,PA21,,PTC_X9,Analog,High Impedance,n/a,,,NORMAL
43,PA22,,PTC_X10,Analog,High Impedance,n/a,,,NORMAL
44,PA23,,PTC_X11,Analog,High Impedance,n/a,,,NORMAL
45,PA24,DEBUG_LED,GPIO,Digital,In/Out,High,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,,Available,,,,,,NORMAL
53,PA28,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,,Available,,,,,,NORMAL
61,PB00,,Available,,,,,,NORMAL
62,PB01,,Available,,,,,,NORMAL
63,PB02,,Available,,,,,,NORMAL
64,PB03,,Available,,,,,,NORMAL
